prompt_id	class	n_prompt	n_gen_raw	n_gen_trimmed	trim_idx	W_mean	W_std	S	n_fired
F01	fire	42	256	256	-1	0.07339519	0.05906872	0.640625	164
F02	fire	42	256	256	-1	0.11499663	0.06400243	0.820312	210
F03	fire	46	256	256	-1	0.03794768	0.05408900	0.359375	92
F04	fire	46	256	256	-1	0.03773207	0.05000302	0.378906	97
F05	fire	42	256	256	-1	0.07293665	0.06732100	0.585938	150
F06	fire	45	256	256	-1	0.06778784	0.06175435	0.582031	149
F07	fire	44	256	256	-1	0.01216761	0.03519330	0.117188	30
F08	fire	44	237	237	-1	0.08285281	0.05942967	0.700422	166
F09	fire	47	256	256	-1	0.09970754	0.06180926	0.769531	197
F10	fire	47	256	256	-1	0.07497938	0.06138268	0.640625	164
N01	nofire	42	256	256	-1	0.00035226	0.00563619	0.003906	1
N02	nofire	45	256	256	-1	0.00963713	0.03364892	0.082031	21
N03	nofire	44	256	256	-1	0.00036970	0.00591521	0.003906	1
N04	nofire	48	256	256	-1	0.00204234	0.01470480	0.019531	5
N05	nofire	48	256	256	-1	0.00529115	0.02427534	0.046875	12
N06	nofire	47	256	256	-1	0.00000000	0.00000000	0.000000	0
N07	nofire	44	256	256	-1	0.00000000	0.00000000	0.000000	0
N08	nofire	50	256	256	-1	0.00295957	0.01661498	0.031250	8
N09	nofire	49	256	256	-1	0.00000000	0.00000000	0.000000	0
N10	nofire	50	244	244	-1	0.01045649	0.03009205	0.110656	27
